renda;compra;idade;scrcrdt;sexo
5224.96;4402.71;41;392;0
5536.62;4668.63;41;392;0
6466.75;4266.43;41;392;0
5994.09;4734.81;41;392;0
5737.59;4748.24;41;392;0
4719.08;4031.32;32;392;0
5910.5;4789.59;41;392;0
5281.23;4649.11;41;392;0
5554.28;4590.64;41;392;0
5556.29;4544.96;41;392;0
5946.79;4848.3;41;392;0
5690.96;4668.06;41;392;0
5697.06;4606.26;41;392;0
5961.56;4817.13;41;392;0
5744.36;4796.71;41;392;0
5546.84;4366.38;41;392;0
5146.13;4576.4;41;392;0
5705.84;4864.31;41;392;0
5711.84;4729.08;41;392;0
5519.11;4656.29;41;392;0
5593.6;4664.0;41;392;0
5811.78;4717.05;41;392;0
5743.07;4763.64;41;392;0
5071.5;4100.53;41;107;0
5761.33;4881.2;41;392;0
5856.81;4726.6;41;392;0
5928.65;4797.21;41;392;0
5364.19;4414.61;41;392;0
5763.22;4943.2;41;392;0
5741.66;4699.63;41;392;0
5707.98;4656.33;41;392;0
5947.01;4953.85;41;392;0
6054.06;4765.74;41;392;0
5689.71;4577.95;41;392;0
5777.59;4708.8;41;392;0
5737.0;4781.88;41;392;0
5755.61;4832.59;41;392;0
5448.51;4446.17;41;392;0
6031.01;4734.81;41;392;0
5954.19;4881.57;41;392;0
5298.37;5006.02;36;614;0
5561.47;4748.65;41;392;0
6063.29;4987.03;41;392;0
5710.57;4663.59;41;392;0
5314.4;4370.24;41;392;0
5760.4;4866.16;41;392;0
6202.35;5189.05;41;392;0
6031.22;4734.81;41;392;0
5674.85;4836.44;41;392;0
5992.52;4734.81;41;392;0
5805.74;4715.23;41;392;0
5695.26;4597.14;41;392;0
5564.39;4660.03;41;392;0
5851.43;4875.33;41;392;0
5744.2;4767.7;41;392;0
5330.55;4654.06;41;392;0
5174.71;4688.28;41;614;0
5706.33;4559.83;41;392;0
5984.87;4928.69;41;392;0
5570.93;4537.62;41;392;0
5696.49;4602.25;41;392;0
5750.79;4798.85;41;392;0
5762.84;5128.09;41;392;0
5892.83;4983.28;41;392;0
5364.86;4399.16;41;392;0
5724.03;4611.51;41;392;0
4761.25;4332.53;32;392;0
6561.75;5516.7;41;392;0
5444.18;4488.3;41;392;0
5697.38;4607.17;41;392;0
5687.62;4563.94;41;392;0
5685.11;4485.92;41;392;0
5712.3;4670.0;41;392;0
5659.25;4544.97;41;392;0
5685.73;4547.35;41;392;0
5763.22;4959.11;41;392;0
5481.03;4195.04;41;392;0
5180.85;4031.57;41;392;0
5763.22;4963.55;41;392;0
5610.64;4666.79;41;392;0
5654.67;4491.34;41;392;0
5682.03;4498.97;41;392;0
5953.48;4858.04;41;392;0
5762.59;5129.82;41;392;0
5954.23;5060.24;41;392;0
5999.55;4734.81;41;392;0
5701.94;4471.74;41;392;0
5874.73;4782.3;41;392;0
6016.33;4963.57;41;392;0
5703.73;4590.89;41;392;0
5392.5;4408.9;41;392;0
6099.91;4735.19;41;392;0
5441.35;4546.75;41;392;0
5723.77;4693.6;41;392;0
5641.01;4671.98;41;392;0
5426.71;4654.76;41;392;0
5015.41;4504.51;41;614;0
6229.12;4735.19;41;392;0
5954.46;5048.01;41;392;0
5575.89;4267.51;41;392;0
5756.91;4741.9;41;392;0
5541.45;4658.03;41;392;0
5473.58;4655.53;41;392;0
5730.39;4723.4;41;392;0
5799.58;4758.26;41;392;0
5763.5;5027.1;41;392;0
5830.91;4721.13;41;392;0
5924.69;5019.23;41;392;0
5842.61;4821.64;41;392;0
6125.26;5013.79;41;392;0
5656.56;4545.64;41;392;0
5487.8;4509.07;41;392;0
5581.22;4490.07;41;392;0
5564.29;4660.03;41;392;0
5537.91;4657.3;41;392;0
5845.6;4723.95;41;392;0
5747.08;4701.41;41;392;0
5294.31;4383.19;41;392;0
5590.95;4707.37;41;392;0
5637.81;4513.07;41;392;0
5982.38;4734.81;41;392;0
5646.58;4503.86;41;392;0
6384.25;4735.19;41;392;0
5681.09;4472.91;41;392;0
5649.66;4673.5;41;392;0
6198.83;4735.19;41;392;0
5761.33;4884.2;41;392;0
6072.4;4734.81;41;392;0
5687.38;4561.59;41;392;0
5529.65;4656.97;41;392;0
5535.7;4601.68;41;392;0
5609.08;4666.79;41;392;0
5892.29;4922.18;41;392;0
5632.15;4496.92;41;392;0
5761.33;4887.12;41;392;0
5787.0;4711.39;41;392;0
6144.07;4735.19;41;392;0
5751.02;4800.28;41;392;0
5055.4;4543.82;41;614;0
5794.97;4607.52;41;392;0
5964.71;4839.17;41;392;0
5679.88;4412.66;41;392;0
5442.07;4525.79;41;392;0
5426.8;4415.68;41;392;0
5463.67;4655.05;41;392;0
5761.76;4892.82;41;392;0
5967.42;4734.81;41;392;0
